,0
0,4.489308
1,2.6773919333333334
2,2.0710787250000005
3,1.8965390800000002
4,1.6799434666666666
5,1.5863856857142857
6,1.5158647125
7,1.4863250333333335
8,1.46175436
9,1.4504872181818182
10,1.4483163583333334
11,1.4520610461538461
12,1.3088777499999997
13,1.181624
14,1.48156456875
15,1.4948037705882349
16,1.3459546777777778
17,1.4037797684210527
18,1.3735039549999999
19,1.3868818238095235
20,1.4159335545454546
21,1.1448687
22,1.4542082625000001
23,1.638602808
24,1.495519573076923
25,1.6830895629629634
26,1.7032578857142855
27,1.7664905310344827
28,1.7779287333333336
29,1.781946512903226
